File,TP,FP,TN,FN,hi_norm,TP,FP,TN,FN,lo_norm,TP,FP,TN,FN,hi_ngram,TP,FP,TN,FN,lo_ngram
guessword/0_orig/GuessWord.java,4,6,84,6,0.4,5,5,85,5,0.5,8,2,88,2,0.8,10,0,90,0,1
guessword/1_artifice/GuessWord.java,4,6,84,6,0.4,5,5,85,5,0.5,6,4,86,4,0.6,8,2,88,2,0.8
guessword/test_0_orig_no_krakatau/GuessWord.java,1,9,81,9,0.1,1,9,81,9,0.1,4,6,84,6,0.4,7,3,87,3,0.7
guessword/test_0_orig_no_procyon/GuessWord.java,2,8,82,8,0.2,5,5,85,5,0.5,10,0,90,0,1,10,0,90,0,1
guessword/test_0_orig_pg_krakatau/GuessWord.java,1,9,81,9,0.1,1,9,81,9,0.1,7,3,87,3,0.7,6,4,86,4,0.6
guessword/test_0_orig_pg_procyon/GuessWord.java,2,8,82,8,0.2,5,5,85,5,0.5,10,0,90,0,1,10,0,90,0,1
guessword/test_1_artifice_no_krakatau/GuessWord.java,1,9,81,9,0.1,1,9,81,9,0.1,5,5,85,5,0.5,7,3,87,3,0.7
guessword/test_1_artifice_no_procyon/GuessWord.java,2,8,82,8,0.2,5,5,85,5,0.5,10,0,90,0,1,10,0,90,0,1
guessword/test_1_artifice_pg_krakatau/GuessWord.java,1,9,81,9,0.1,1,9,81,9,0.1,6,4,86,4,0.6,6,4,86,4,0.6
guessword/test_1_artifice_pg_procyon/GuessWord.java,2,8,82,8,0.2,5,5,85,5,0.5,10,0,90,0,1,10,0,90,0,1
hanoi/0_orig/Main.java,4,6,84,6,0.4,10,0,90,0,1,10,0,90,0,1,10,0,90,0,1
hanoi/1_artifice/Main.java,4,6,84,6,0.4,6,4,86,4,0.6,10,0,90,0,1,10,0,90,0,1
hanoi/test_0_orig_no_krakatau/Main.java,4,6,84,6,0.4,5,5,85,5,0.5,6,4,86,4,0.6,6,4,86,4,0.6
hanoi/test_0_orig_no_procyon/Main.java,4,6,84,6,0.4,8,2,88,2,0.8,10,0,90,0,1,10,0,90,0,1
hanoi/test_0_orig_pg_krakatau/Main.java,4,6,84,6,0.4,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
hanoi/test_0_orig_pg_procyon/Main.java,4,6,84,6,0.4,8,2,88,2,0.8,10,0,90,0,1,10,0,90,0,1
hanoi/test_1_artifice_no_krakatau/Main.java,4,6,84,6,0.4,4,6,84,6,0.4,6,4,86,4,0.6,5,5,85,5,0.5
hanoi/test_1_artifice_no_procyon/Main.java,4,6,84,6,0.4,8,2,88,2,0.8,10,0,90,0,1,10,0,90,0,1
hanoi/test_1_artifice_pg_krakatau/Main.java,4,6,84,6,0.4,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
hanoi/test_1_artifice_pg_procyon/Main.java,4,6,84,6,0.4,8,2,88,2,0.8,10,0,90,0,1,10,0,90,0,1
InfixConverter/0_orig/InfixConverter.java,6,4,86,4,0.6,7,3,87,3,0.7,6,4,86,4,0.6,6,4,86,4,0.6
InfixConverter/1_artifice/InfixConverter.java,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
InfixConverter/test_0_orig_no_krakatau/InfixConverter.java,2,8,82,8,0.2,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
InfixConverter/test_0_orig_no_procyon/InfixConverter.java,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
InfixConverter/test_0_orig_pg_krakatau/InfixConverter.java,2,8,82,8,0.2,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
InfixConverter/test_0_orig_pg_procyon/InfixConverter.java,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
InfixConverter/test_1_artifice_no_krakatau/InfixConverter.java,2,8,82,8,0.2,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
InfixConverter/test_1_artifice_no_procyon/InfixConverter.java,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
InfixConverter/test_1_artifice_pg_krakatau/InfixConverter.java,2,8,82,8,0.2,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
InfixConverter/test_1_artifice_pg_procyon/InfixConverter.java,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
intersection/0_orig/Intersection.java,1,9,81,9,0.1,2,8,82,8,0.2,5,5,85,5,0.5,5,5,85,5,0.5
intersection/1_artifice/Intersection.java,1,9,81,9,0.1,2,8,82,8,0.2,4,6,84,6,0.4,4,6,84,6,0.4
intersection/test_0_orig_no_krakatau/Intersection.java,3,7,83,7,0.3,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
intersection/test_0_orig_no_procyon/Intersection.java,1,9,81,9,0.1,2,8,82,8,0.2,5,5,85,5,0.5,5,5,85,5,0.5
intersection/test_0_orig_pg_krakatau/Intersection.java,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
intersection/test_0_orig_pg_procyon/Intersection.java,1,9,81,9,0.1,1,9,81,9,0.1,5,5,85,5,0.5,5,5,85,5,0.5
intersection/test_1_artifice_no_krakatau/Intersection.java,3,7,83,7,0.3,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
intersection/test_1_artifice_no_procyon/Intersection.java,1,9,81,9,0.1,1,9,81,9,0.1,5,5,85,5,0.5,5,5,85,5,0.5
intersection/test_1_artifice_pg_krakatau/Intersection.java,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
intersection/test_1_artifice_pg_procyon/Intersection.java,1,9,81,9,0.1,1,9,81,9,0.1,5,5,85,5,0.5,5,5,85,5,0.5
kaprekar/0_orig/Kaprekar_Transformation.java,5,5,85,5,0.5,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
kaprekar/1_artifice/Kaprekar_Transformation.java,5,5,85,5,0.5,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
kaprekar/test_0_orig_no_krakatau/Kaprekar_Transformation.java,5,5,85,5,0.5,6,4,86,4,0.6,10,0,90,0,1,10,0,90,0,1
kaprekar/test_0_orig_no_procyon/Kaprekar_Transformation.java,5,5,85,5,0.5,10,0,90,0,1,10,0,90,0,1,10,0,90,0,1
kaprekar/test_0_orig_pg_krakatau/Kaprekar_Transformation.java,5,5,85,5,0.5,6,4,86,4,0.6,10,0,90,0,1,10,0,90,0,1
kaprekar/test_0_orig_pg_procyon/Kaprekar_Transformation.java,5,5,85,5,0.5,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
kaprekar/test_1_artifice_no_krakatau/Kaprekar_Transformation.java,5,5,85,5,0.5,6,4,86,4,0.6,10,0,90,0,1,10,0,90,0,1
kaprekar/test_1_artifice_no_procyon/Kaprekar_Transformation.java,5,5,85,5,0.5,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
kaprekar/test_1_artifice_pg_krakatau/Kaprekar_Transformation.java,5,5,85,5,0.5,6,4,86,4,0.6,10,0,90,0,1,10,0,90,0,1
kaprekar/test_1_artifice_pg_procyon/Kaprekar_Transformation.java,5,5,85,5,0.5,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
queens/0_orig/EightQueens.java,0,10,80,10,0,6,4,86,4,0.6,6,4,86,4,0.6,8,2,88,2,0.8
queens/1_artifice/EightQueens.java,0,10,80,10,0,6,4,86,4,0.6,8,2,88,2,0.8,8,2,88,2,0.8
queens/test_0_orig_no_krakatau/EightQueens.java,0,10,80,10,0,5,5,85,5,0.5,7,3,87,3,0.7,8,2,88,2,0.8
queens/test_0_orig_no_procyon/EightQueens.java,0,10,80,10,0,8,2,88,2,0.8,6,4,86,4,0.6,8,2,88,2,0.8
queens/test_0_orig_pg_krakatau/EightQueens.java,0,10,80,10,0,5,5,85,5,0.5,6,4,86,4,0.6,7,3,87,3,0.7
queens/test_0_orig_pg_procyon/EightQueens.java,0,10,80,10,0,8,2,88,2,0.8,5,5,85,5,0.5,8,2,88,2,0.8
queens/test_1_artifice_no_krakatau/EightQueens.java,0,10,80,10,0,5,5,85,5,0.5,7,3,87,3,0.7,8,2,88,2,0.8
queens/test_1_artifice_no_procyon/EightQueens.java,0,10,80,10,0,8,2,88,2,0.8,6,4,86,4,0.6,8,2,88,2,0.8
queens/test_1_artifice_pg_krakatau/EightQueens.java,0,10,80,10,0,5,5,85,5,0.5,6,4,86,4,0.6,7,3,87,3,0.7
queens/test_1_artifice_pg_procyon/EightQueens.java,0,10,80,10,0,8,2,88,2,0.8,5,5,85,5,0.5,8,2,88,2,0.8
SqrtAlgorithm/0_orig/SqrtAlgorithm.java,0,10,80,10,0,6,4,86,4,0.6,10,0,90,0,1,10,0,90,0,1
SqrtAlgorithm/1_artifice/SqrtAlgorithm.java,0,10,80,10,0,5,5,85,5,0.5,9,1,89,1,0.9,10,0,90,0,1
SqrtAlgorithm/test_0_orig_no_krakatau/SqrtAlgorithm.java,4,6,84,6,0.4,6,4,86,4,0.6,6,4,86,4,0.6,8,2,88,2,0.8
SqrtAlgorithm/test_0_orig_no_procyon/SqrtAlgorithm.java,0,10,80,10,0,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
SqrtAlgorithm/test_0_orig_pg_krakatau/SqrtAlgorithm.java,4,6,84,6,0.4,6,4,86,4,0.6,7,3,87,3,0.7,8,2,88,2,0.8
SqrtAlgorithm/test_0_orig_pg_procyon/SqrtAlgorithm.java,0,10,80,10,0,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
SqrtAlgorithm/test_1_artifice_no_krakatau/SqrtAlgorithm.java,4,6,84,6,0.4,5,5,85,5,0.5,6,4,86,4,0.6,8,2,88,2,0.8
SqrtAlgorithm/test_1_artifice_no_procyon/SqrtAlgorithm.java,0,10,80,10,0,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
SqrtAlgorithm/test_1_artifice_pg_krakatau/SqrtAlgorithm.java,4,6,84,6,0.4,6,4,86,4,0.6,7,3,87,3,0.7,8,2,88,2,0.8
SqrtAlgorithm/test_1_artifice_pg_procyon/SqrtAlgorithm.java,0,10,80,10,0,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
square/0_orig/MagicSquare.java,3,7,83,7,0.3,8,2,88,2,0.8,8,2,88,2,0.8,8,2,88,2,0.8
square/1_artifice/MagicSquare.java,3,7,83,7,0.3,4,6,84,6,0.4,10,0,90,0,1,10,0,90,0,1
square/test_0_orig_no_krakatau/MagicSquare.java,2,8,82,8,0.2,4,6,84,6,0.4,10,0,90,0,1,10,0,90,0,1
square/test_0_orig_no_procyon/MagicSquare.java,3,7,83,7,0.3,8,2,88,2,0.8,10,0,90,0,1,8,2,88,2,0.8
square/test_0_orig_pg_krakatau/MagicSquare.java,2,8,82,8,0.2,4,6,84,6,0.4,10,0,90,0,1,7,3,87,3,0.7
square/test_0_orig_pg_procyon/MagicSquare.java,3,7,83,7,0.3,7,3,87,3,0.7,10,0,90,0,1,8,2,88,2,0.8
square/test_1_artifice_no_krakatau/MagicSquare.java,2,8,82,8,0.2,4,6,84,6,0.4,10,0,90,0,1,10,0,90,0,1
square/test_1_artifice_no_procyon/MagicSquare.java,3,7,83,7,0.3,8,2,88,2,0.8,9,1,89,1,0.9,8,2,88,2,0.8
square/test_1_artifice_pg_krakatau/MagicSquare.java,2,8,82,8,0.2,4,6,84,6,0.4,10,0,90,0,1,7,3,87,3,0.7
square/test_1_artifice_pg_procyon/MagicSquare.java,3,7,83,7,0.3,7,3,87,3,0.7,10,0,90,0,1,8,2,88,2,0.8
triangle/0_orig/PointInTriangle.java,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1,10,0,90,0,1
triangle/1_artifice/PointInTriangle.java,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1,10,0,90,0,1
triangle/test_0_orig_no_krakatau/PointInTriangle.java,6,4,86,4,0.6,10,0,90,0,1,8,2,88,2,0.8,10,0,90,0,1
triangle/test_0_orig_no_procyon/PointInTriangle.java,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1,10,0,90,0,1
triangle/test_0_orig_pg_krakatau/PointInTriangle.java,6,4,86,4,0.6,10,0,90,0,1,8,2,88,2,0.8,8,2,88,2,0.8
triangle/test_0_orig_pg_procyon/PointInTriangle.java,8,2,88,2,0.8,10,0,90,0,1,10,0,90,0,1,10,0,90,0,1
triangle/test_1_artifice_no_krakatau/PointInTriangle.java,6,4,86,4,0.6,10,0,90,0,1,8,2,88,2,0.8,10,0,90,0,1
triangle/test_1_artifice_no_procyon/PointInTriangle.java,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1,10,0,90,0,1
triangle/test_1_artifice_pg_krakatau/PointInTriangle.java,6,4,86,4,0.6,10,0,90,0,1,8,2,88,2,0.8,8,2,88,2,0.8
triangle/test_1_artifice_pg_procyon/PointInTriangle.java,8,2,88,2,0.8,10,0,90,0,1,10,0,90,0,1,10,0,90,0,1
union/0_orig/Union.java,2,8,82,8,0.2,7,3,87,3,0.7,5,5,85,5,0.5,5,5,85,5,0.5
union/1_artifice/Union.java,2,8,82,8,0.2,4,6,84,6,0.4,6,4,86,4,0.6,6,4,86,4,0.6
union/test_0_orig_no_krakatau/Union.java,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
union/test_0_orig_no_procyon/Union.java,2,8,82,8,0.2,7,3,87,3,0.7,5,5,85,5,0.5,5,5,85,5,0.5
union/test_0_orig_pg_krakatau/Union.java,3,7,83,7,0.3,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
union/test_0_orig_pg_procyon/Union.java,2,8,82,8,0.2,7,3,87,3,0.7,5,5,85,5,0.5,5,5,85,5,0.5
union/test_1_artifice_no_krakatau/Union.java,3,7,83,7,0.3,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
union/test_1_artifice_no_procyon/Union.java,2,8,82,8,0.2,7,3,87,3,0.7,5,5,85,5,0.5,5,5,85,5,0.5
union/test_1_artifice_pg_krakatau/Union.java,3,7,83,7,0.3,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
union/test_1_artifice_pg_procyon/Union.java,2,8,82,8,0.2,7,3,87,3,0.7,5,5,85,5,0.5,5,5,85,5,0.5